name,chrom,chrom_class,mean_jc_div
gu_0_chr4A_20416258_20417701,4A,macro_derived,0.26058903822470614
gu_2_chr4A_20483465_20484911,4A,macro_derived,0.2544064049858272
gu_4_chr4A_20547713_20549169,4A,macro_derived,0.2629659595103207
gu_5_chr4A_20591402_20592846,4A,macro_derived,0.2666328680074998
gu_6_chr4A_20649891_20651295,4A,macro_derived,0.2540147392058104
gu_14_chr4A_20423464_20424915,4A,macro_derived,0.35905322238902077
gu_16_chr4A_20597982_20599420,4A,macro_derived,0.37104734365520514
gu_18_chr4A_20657030_20658476,4A,macro_derived,0.3689155712005762
gu_20_chr5_2017355_2019112,5,macro_derived,0.26688719585076975
gu_22_chr5_2075683_2077134,5,macro_derived,0.2515998166541509
gu_24_chr5_2118565_2120322,5,macro_derived,0.2624034546195238
gu_28_chr5_2251569_2252996,5,macro_derived,0.2562265390287297
gu_32_chr5_2557954_2559710,5,macro_derived,0.2667262738778982
gu_34_chr5_2618055_2619415,5,macro_derived,0.26167219932297353
gu_36_chr5_3098846_3100290,5,macro_derived,0.2510408277980796
gu_38_chr5_3549040_3550796,5,macro_derived,0.2598811712945025
gu_40_chr5_3588580_3590334,5,macro_derived,0.2616061570952932
gu_42_chr5_3643260_3644709,5,macro_derived,0.26314706786332276
gu_50_chr5_3771615_3773059,5,macro_derived,0.25545867110343884
gu_58_chr5_4131093_4132531,5,macro_derived,0.2529334841245944
gu_60_chr5_4457178_4458624,5,macro_derived,0.25143866534917453
gu_64_chr5_4634026_4635472,5,macro_derived,0.2514200551859268
gu_66_chr5_4880895_4882341,5,macro_derived,0.25143866534917453
gu_68_chr5_4968605_4970056,5,macro_derived,0.26509986451522294
gu_69_chr5_5036585_5038030,5,macro_derived,0.2558919578270083
gu_76_chr5_5482016_5483462,5,macro_derived,0.25056885922635636
gu_78_chr5_5512831_5514277,5,macro_derived,0.2515788994783699
gu_80_chr5_5560760_5562210,5,macro_derived,0.257909494113594
gu_83_chr5_5908661_5910107,5,macro_derived,0.2519313806613557
gu_85_chr5_6075492_6076938,5,macro_derived,0.25143866534917453
gu_87_chr5_6107352_6108739,5,macro_derived,0.25388347538504347
gu_89_chr5_6258416_6259862,5,macro_derived,0.2535313630256335
gu_91_chr5_6327031_6328480,5,macro_derived,0.2565894723200612
gu_93_chr5_6437109_6438560,5,macro_derived,0.25023299846619484
gu_97_chr5_6833003_6834449,5,macro_derived,0.2519313806613557
gu_99_chr5_6864823_6866607,5,macro_derived,0.2559464908056049
gu_102_chr5_7013507_7014953,5,macro_derived,0.24287460294929752
gu_104_chr5_7044200_7045984,5,macro_derived,0.2569251403607629
gu_106_chr5_7134137_7135582,5,macro_derived,0.25070633671373516
gu_111_chr5_7236801_7238239,5,macro_derived,0.2562673810534021
gu_113_chr5_7482511_7483957,5,macro_derived,0.25325825737262614
gu_127_chr5_7833837_7835283,5,macro_derived,0.25495896525370765
gu_129_chr5_7864629_7866422,5,macro_derived,0.25943853053726246
gu_132_chr5_1974453_1976210,5,macro_derived,0.5233528732326002
gu_134_chr5_2158957_2160412,5,macro_derived,0.36777554156488856
gu_137_chr5_2429817_2431268,5,macro_derived,0.43300282758442676
gu_139_chr5_2468605_2470362,5,macro_derived,0.5197311897631135
gu_141_chr5_2511641_2513087,5,macro_derived,0.35580988556624527
gu_143_chr5_2822696_2824453,5,macro_derived,0.5292506715513595
gu_145_chr5_2990264_2992021,5,macro_derived,0.5154349949891187
gu_147_chr5_3042249_3044005,5,macro_derived,0.5106660829327601
gu_148_chr5_3105337_3106752,5,macro_derived,0.3772804219226773
gu_150_chr5_3134910_3136667,5,macro_derived,0.5194283115532748
gu_152_chr5_3222134_3223890,5,macro_derived,0.509958555542481
gu_155_chr5_3650509_3651959,5,macro_derived,0.3632425571663834
gu_161_chr5_4178210_4179666,5,macro_derived,0.35811494378097514
gu_163_chr5_4238853_4240298,5,macro_derived,0.362218172946943
gu_165_chr5_4563706_4565463,5,macro_derived,0.5202271203918608
gu_171_chr5_5565907_5566992,5,macro_derived,0.8819815844124437
gu_172_chr5_5567612_5569055,5,macro_derived,0.3588496464243712
gu_175_chr5_6956410_6957840,5,macro_derived,0.36732247161024273
gu_178_chr5_7283999_7285455,5,macro_derived,0.3681445722084107
gu_187_chr5_7947208_7948963,5,macro_derived,0.5140571548893482
gu_189_chr7_31620818_31622741,7,chr7_ancestral,0.47114909339916106
gu_190_chr7_32886754_32888205,7,chr7_ancestral,
gu_191_chr7_33273774_33277731,7,chr7_ancestral,0.49067931116429175
gu_234_chr7_36050726_36053388,7,chr7_ancestral,0.4732102048530081
gu_236_chr7_36060319_36062983,7,chr7_ancestral,0.4732102048530081
gu_238_chr7_36069914_36072578,7,chr7_ancestral,0.4732102048530081
gu_241_chr7_36122282_36123694,7,chr7_ancestral,0.2613099559001177
gu_244_chr7_36162166_36163578,7,chr7_ancestral,0.26377582456169085
gu_247_chr7_38263146_38265702,7,chr7_ancestral,0.5211774410841165
gu_253_chr7_32175311_32179270,7,chr7_ancestral,0.7054138670882799
gu_257_chr7_37054543_37056740,7,chr7_ancestral,0.6774748411088068
