gene_unit_id,chrom,accession,anchor_pos,start,end,span,n_hits,total_seq_len,has_exon13,coverage_frac,chrom_class,is_ancestral
0,4A,CM116060.1,,20416258,20417701,1444,4,840,False,0.5118829981718465,macro_derived,False
2,4A,CM116060.1,,20483465,20484911,1447,4,834,False,0.5082266910420475,macro_derived,False
4,4A,CM116060.1,,20547713,20549169,1457,4,831,False,0.506398537477148,macro_derived,False
5,4A,CM116060.1,,20591402,20592846,1445,4,843,False,0.5137111517367459,macro_derived,False
6,4A,CM116060.1,,20649891,20651295,1405,4,834,False,0.5082266910420475,macro_derived,False
14,4A,CM116060.1,,20423464,20424915,1452,4,879,False,0.5356489945155393,macro_derived,False
16,4A,CM116060.1,,20597982,20599420,1439,4,849,False,0.5173674588665448,macro_derived,False
18,4A,CM116060.1,,20657030,20658476,1447,4,876,False,0.5338208409506399,macro_derived,False
20,5,CM116061.1,,2017355,2019112,1758,5,876,False,0.5338208409506399,macro_derived,False
22,5,CM116061.1,,2075683,2077134,1452,4,1017,False,0.6197440585009141,macro_derived,False
24,5,CM116061.1,,2118565,2120322,1758,5,876,False,0.5338208409506399,macro_derived,False
28,5,CM116061.1,,2251569,2252996,1428,4,834,False,0.5082266910420475,macro_derived,False
32,5,CM116061.1,,2557954,2559710,1757,5,876,False,0.5338208409506399,macro_derived,False
34,5,CM116061.1,,2618055,2619415,1361,4,843,False,0.5137111517367459,macro_derived,False
36,5,CM116061.1,,3098846,3100290,1445,4,873,False,0.5319926873857403,macro_derived,False
38,5,CM116061.1,,3549040,3550796,1757,5,876,False,0.5338208409506399,macro_derived,False
40,5,CM116061.1,,3588580,3590334,1755,5,894,False,0.5447897623400365,macro_derived,False
42,5,CM116061.1,,3643260,3644709,1450,4,852,False,0.5191956124314442,macro_derived,False
50,5,CM116061.1,,3771615,3773059,1445,4,861,False,0.5246800731261426,macro_derived,False
58,5,CM116061.1,,4131093,4132531,1439,4,849,False,0.5173674588665448,macro_derived,False
60,5,CM116061.1,,4457178,4458624,1447,4,861,False,0.5246800731261426,macro_derived,False
64,5,CM116061.1,,4634026,4635472,1447,4,861,False,0.5246800731261426,macro_derived,False
66,5,CM116061.1,,4880895,4882341,1447,4,861,False,0.5246800731261426,macro_derived,False
68,5,CM116061.1,,4968605,4970056,1452,4,873,False,0.5319926873857403,macro_derived,False
69,5,CM116061.1,,5036585,5038030,1446,4,861,False,0.5246800731261426,macro_derived,False
76,5,CM116061.1,,5482016,5483462,1447,4,861,False,0.5246800731261426,macro_derived,False
78,5,CM116061.1,,5512831,5514277,1447,4,843,False,0.5137111517367459,macro_derived,False
80,5,CM116061.1,,5560760,5562210,1451,4,861,False,0.5246800731261426,macro_derived,False
83,5,CM116061.1,,5908661,5910107,1447,4,861,False,0.5246800731261426,macro_derived,False
85,5,CM116061.1,,6075492,6076938,1447,4,861,False,0.5246800731261426,macro_derived,False
87,5,CM116061.1,,6107352,6108739,1388,4,1113,False,0.6782449725776966,macro_derived,False
89,5,CM116061.1,,6258416,6259862,1447,4,966,False,0.5886654478976234,macro_derived,False
91,5,CM116061.1,,6327031,6328480,1450,4,948,False,0.5776965265082267,macro_derived,False
93,5,CM116061.1,,6437109,6438560,1452,4,870,False,0.5301645338208409,macro_derived,False
97,5,CM116061.1,,6833003,6834449,1447,4,861,False,0.5246800731261426,macro_derived,False
99,5,CM116061.1,,6864823,6866607,1785,5,903,False,0.5502742230347349,macro_derived,False
102,5,CM116061.1,,7013507,7014953,1447,4,840,False,0.5118829981718465,macro_derived,False
104,5,CM116061.1,,7044200,7045984,1785,5,903,False,0.5502742230347349,macro_derived,False
106,5,CM116061.1,,7134137,7135582,1446,4,870,False,0.5301645338208409,macro_derived,False
111,5,CM116061.1,,7236801,7238239,1439,4,849,False,0.5173674588665448,macro_derived,False
113,5,CM116061.1,,7482511,7483957,1447,4,861,False,0.5246800731261426,macro_derived,False
127,5,CM116061.1,,7833837,7835283,1447,4,861,False,0.5246800731261426,macro_derived,False
129,5,CM116061.1,,7864629,7866422,1794,5,912,False,0.5557586837294333,macro_derived,False
132,5,CM116061.1,,1974453,1976210,1758,5,876,False,0.5338208409506399,macro_derived,False
134,5,CM116061.1,,2158957,2160412,1456,4,858,False,0.5228519195612431,macro_derived,False
137,5,CM116061.1,,2429817,2431268,1452,4,1218,False,0.7422303473491774,macro_derived,False
139,5,CM116061.1,,2468605,2470362,1758,5,876,False,0.5338208409506399,macro_derived,False
141,5,CM116061.1,,2511641,2513087,1447,4,906,False,0.5521023765996343,macro_derived,False
143,5,CM116061.1,,2822696,2824453,1758,5,876,False,0.5338208409506399,macro_derived,False
145,5,CM116061.1,,2990264,2992021,1758,5,933,False,0.5685557586837294,macro_derived,False
147,5,CM116061.1,,3042249,3044005,1757,5,915,False,0.5575868372943327,macro_derived,False
148,5,CM116061.1,,3105337,3106752,1416,4,828,False,0.5045703839122486,macro_derived,False
150,5,CM116061.1,,3134910,3136667,1758,5,900,False,0.5484460694698354,macro_derived,False
152,5,CM116061.1,,3222134,3223890,1757,5,885,False,0.5393053016453382,macro_derived,False
155,5,CM116061.1,,3650509,3651959,1451,4,879,False,0.5356489945155393,macro_derived,False
161,5,CM116061.1,,4178210,4179666,1457,4,840,False,0.5118829981718465,macro_derived,False
163,5,CM116061.1,,4238853,4240298,1446,4,870,False,0.5301645338208409,macro_derived,False
165,5,CM116061.1,,4563706,4565463,1758,5,894,False,0.5447897623400365,macro_derived,False
171,5,CM116061.1,,5565907,5566992,1086,2,903,False,0.5502742230347349,macro_derived,False
172,5,CM116061.1,,5567612,5569055,1444,4,849,False,0.5173674588665448,macro_derived,False
175,5,CM116061.1,,6956410,6957840,1431,4,876,False,0.5338208409506399,macro_derived,False
178,5,CM116061.1,,7283999,7285455,1457,4,921,False,0.5612431444241316,macro_derived,False
187,5,CM116061.1,,7947208,7948963,1756,5,876,False,0.5338208409506399,macro_derived,False
189,7,CM116063.1,,31620818,31622741,1924,6,1128,False,0.6873857404021938,chr7_ancestral,False
